File,H2O_ppmv,CO2_ppmv,CO_ppmv,NO_ppmv,NO2_ppmv,NH3_ppmv,CH4_ppmv
20250514_TEST_001_DIESEL_EXTENDED_R4_1598.spc,11871.4755859375,111692.96875,22.17283821105957,32.01294708251953,6.110423564910889,4.627758979797363,15.143349647521973
20250514_TEST_001_DIESEL_EXTENDED_R4_1599.spc,11877.806640625,111715.765625,22.174694061279297,32.02061462402344,6.110862731933594,4.628070831298828,15.144489288330078
20250514_TEST_001_DIESEL_EXTENDED_R4_1600.spc,11868.068359375,111682.1015625,22.174341201782227,32.010986328125,6.110679626464844,4.627697467803955,15.14273452758789
20250514_TEST_001_DIESEL_EXTENDED_R4_1601.spc,11864.93359375,111654.5234375,22.172969818115234,32.007232666015625,6.110514163970947,4.627447605133057,15.141749382019043
20250514_TEST_001_DIESEL_EXTENDED_R4_1602.spc,11866.47265625,111658.4609375,22.172611236572266,32.00823974609375,6.110405445098877,4.62747859954834,15.142148971557617
20250514_TEST_001_DIESEL_EXTENDED_R4_1603.spc,11867.12890625,111663.359375,22.17262840270996,32.007972717285156,6.110245227813721,4.6274919509887695,15.14253044128418
20250514_TEST_001_DIESEL_EXTENDED_R4_1604.spc,11870.6376953125,111678.90625,22.173124313354492,32.01206588745117,6.110302448272705,4.6277241706848145,15.143704414367676
20250514_TEST_001_DIESEL_EXTENDED_R4_1605.spc,11869.12109375,111679.125,22.17432403564453,32.01191711425781,6.110540390014648,4.6277852058410645,15.143265724182129
20250514_TEST_001_DIESEL_EXTENDED_R4_1606.spc,11871.8037109375,111684.875,22.174484252929688,32.015010833740234,6.110690593719482,4.627863883972168,15.143842697143555
20250514_TEST_001_DIESEL_EXTENDED_R4_1607.spc,11877.6591796875,111703.625,22.17521858215332,32.02199935913086,6.110721111297607,4.627986907958984,15.144847869873047
20250514_TEST_001_DIESEL_EXTENDED_R4_1608.spc,11878.7353515625,111711.9296875,22.176849365234375,32.024993896484375,6.111063480377197,4.628150939941406,15.144766807556152
20250514_TEST_001_DIESEL_EXTENDED_R4_1609.spc,11865.4306640625,111675.1796875,22.175777435302734,32.01069641113281,6.110934734344482,4.6276960372924805,15.142634391784668
20250514_TEST_001_DIESEL_EXTENDED_R4_1610.spc,11863.869140625,111667.8359375,22.174821853637695,32.007972717285156,6.1106743812561035,4.627679824829102,15.142168998718262
20250514_TEST_001_DIESEL_EXTENDED_R4_1611.spc,11861.42578125,111658.0390625,22.174362182617188,32.00556564331055,6.110673427581787,4.627663612365723,15.141229629516602
20250514_TEST_001_DIESEL_EXTENDED_R4_1612.spc,11866.9248046875,111685.296875,22.175098419189453,32.01092529296875,6.110830307006836,4.628020763397217,15.142526626586914
20250514_TEST_001_DIESEL_EXTENDED_R4_1613.spc,11870.5244140625,111683.2734375,22.174959182739258,32.014854431152344,6.1109700202941895,4.627895832061768,15.142738342285156
20250514_TEST_001_DIESEL_EXTENDED_R4_1614.spc,11871.0458984375,111676.5625,22.173633575439453,32.01390838623047,6.110696315765381,4.627625465393066,15.143011093139648
20250514_TEST_001_DIESEL_EXTENDED_R4_1615.spc,11860.056640625,111645.6875,22.172969818115234,32.00215148925781,6.110342979431152,4.627218246459961,15.141160011291504
20250514_TEST_001_DIESEL_EXTENDED_R4_1616.spc,11862.884765625,111656.1171875,22.173053741455078,32.00481033325195,6.110299587249756,4.627359390258789,15.141672134399414
20250514_TEST_001_DIESEL_EXTENDED_R4_1617.spc,11868.623046875,111674.0078125,22.1734676361084,32.01125717163086,6.110434532165527,4.627669811248779,15.14270305633545
20250514_TEST_001_DIESEL_EXTENDED_R4_1618.spc,11873.6044921875,111685.515625,22.174175262451172,32.01689910888672,6.110513210296631,4.627800464630127,15.143534660339355
20250514_TEST_001_DIESEL_EXTENDED_R4_1619.spc,11872.732421875,111682.2109375,22.17435646057129,32.01752853393555,6.110659122467041,4.627748489379883,15.143150329589844
20250514_TEST_001_DIESEL_EXTENDED_R4_1620.spc,11871.0,111672.515625,22.173782348632812,32.01576614379883,6.110791206359863,4.627638339996338,15.142742156982422
